method,stage,year,count
unspecified_ai,in_field,2023,131
unspecified_ai,in_field,2024,100
unspecified_ai,in_field,2025,167
unspecified_ai,in_field,2026,98
unspecified_ai,packaging,2015,31
unspecified_ai,packaging,2016,29
unspecified_ai,packaging,2017,33
unspecified_ai,packaging,2018,21
unspecified_ai,packaging,2019,22
unspecified_ai,packaging,2020,24
unspecified_ai,packaging,2021,21
unspecified_ai,packaging,2022,37
unspecified_ai,packaging,2023,28
unspecified_ai,packaging,2024,30
unspecified_ai,packaging,2025,43
unspecified_ai,packaging,2026,43
unspecified_ai,transit,2015,4
unspecified_ai,transit,2016,11
unspecified_ai,transit,2017,6
unspecified_ai,transit,2018,18
unspecified_ai,transit,2019,8
unspecified_ai,transit,2020,17
unspecified_ai,transit,2021,11
unspecified_ai,transit,2022,12
unspecified_ai,transit,2023,13
unspecified_ai,transit,2024,12
unspecified_ai,transit,2025,11
unspecified_ai,transit,2026,4
